,location,recognizability,age,participant_id,drawing_category,distance,distance_euclidean,distance_Beijing,distance_euclidean_Beijing,distance_Kisumu,distance_euclidean_Kisumu,distance_USA,distance_euclidean_USA,distance_India,distance_euclidean_India
2239,USA,0.11248779296875,7,e21547667337924,airplane,0.03857,3.268,0.05029296875,3.724609375,0.041015625,3.3828125,0.03857421875,3.267578125,0.03174,3.033
2240,USA,0.003704071044921875,4,e21547664938821,car,0.05762,3.738,0.0693359375,4.12890625,0.05029296875,3.50390625,0.0576171875,3.73828125,0.0718,4.188
2241,USA,0.9970703125,9,e21555004796019,chair,0.05078,3.55,0.0546875,3.673828125,0.05810546875,3.759765625,0.05078125,3.55078125,0.0625,3.893
2242,USA,0.07037353515625,4,e21547242197593,chair,0.0415,3.27,0.0576171875,3.87890625,0.060546875,3.94921875,0.04150390625,3.26953125,0.0664,4.215
2243,USA,0.94287109375,7,e21547844653939,hat,0.02783,2.8,0.02197265625,2.451171875,0.025390625,2.65234375,0.02783203125,2.80078125,0.03418,3.076
2244,USA,0.9013671875,8,e21548449754672,chair,0.062,3.883,0.0654296875,3.998046875,0.08251953125,4.44921875,0.06201171875,3.8828125,0.0703,4.113
2245,USA,0.09381103515625,7,e21547061122742,cup,0.06104,4.0,0.068359375,4.2734375,0.0810546875,4.59765625,0.06103515625,4.0,0.0747,4.45
2246,USA,0.23486328125,8,e21550687622483,cat,0.07324,4.215,0.1328125,5.80859375,0.12841796875,5.75390625,0.0732421875,4.21484375,0.1455,6.08
2247,USA,0.3525390625,7,e21548098146005,cat,0.0337,3.107,0.0400390625,3.3828125,0.05908203125,4.0859375,0.03369140625,3.107421875,0.04346,3.537
2248,USA,0.85888671875,9,e21555531146821,rabbit,0.063,4.05,0.09033203125,4.91015625,0.0654296875,4.15234375,0.06298828125,4.05078125,0.0791,4.543
2249,USA,0.9931640625,6,e21547836732785,house,0.06445,4.21,0.0986328125,5.14453125,0.12841796875,5.828125,0.064453125,4.2109375,0.0908,4.934
2250,USA,0.09228515625,4,e21548455224165,cup,0.02832,2.803,0.03515625,3.138671875,0.052734375,3.78125,0.0283203125,2.802734375,0.04492,3.486
2251,USA,0.07513427734375,5,e21541195324779,cup,0.05615,3.791,0.0693359375,4.265625,0.068359375,4.15234375,0.05615234375,3.791015625,0.0703,4.305
2252,USA,0.8642578125,6,e21547849081297,cup,0.0498,3.793,0.04296875,3.50390625,0.04931640625,3.7421875,0.0498046875,3.79296875,0.0415,3.441
2253,USA,0.5537109375,6,e21542224218088,cat,0.04736,3.52,0.0927734375,5.0,0.05517578125,3.763671875,0.04736328125,3.51953125,0.0786,4.523
2254,USA,0.8291015625,7,e21542224706912,tree,0.0747,4.402,0.1064453125,5.30078125,0.115234375,5.46484375,0.07470703125,4.40234375,0.103,5.21
2255,USA,0.2352294921875,5,e21542049031572,bike,0.03613,3.174,0.04931640625,3.689453125,0.0625,4.140625,0.0361328125,3.173828125,0.05176,3.783
2256,USA,0.0440673828125,4,e21548455224165,chair,0.06836,4.15,0.0908203125,4.8203125,0.08740234375,4.67578125,0.068359375,4.1484375,0.0796,4.54
2257,USA,0.43212890625,8,e21550687622483,car,0.03857,3.16,0.0576171875,3.841796875,0.05419921875,3.73828125,0.03857421875,3.16015625,0.04492,3.404
2258,USA,0.01220703125,6,e21547668018017,airplane,0.05518,3.887,0.08935546875,4.93359375,0.056640625,3.94140625,0.05517578125,3.88671875,0.05908,4.043
